Programming languages for New Zealand,Count,Percentage
Python,29.0,78.37837837837837
SQL,15.0,40.54054054054054
R,15.0,40.54054054054054
JavaScript,14.0,37.83783783783784
C,13.0,35.13513513513514
C++,11.0,29.72972972972973
Java,10.0,27.027027027027028
Fortran,10.0,27.027027027027028
Perl,8.0,21.62162162162162
Matlab,6.0,16.216216216216218
PHP,3.0,8.108108108108109
Julia,3.0,8.108108108108109
TypeScript,2.0,5.405405405405405
C#,2.0,5.405405405405405
Swift,1.0,2.7027027027027026
VBA,1.0,2.7027027027027026
Rust,1.0,2.7027027027027026
Assembly,1.0,2.7027027027027026
Visual Basic,1.0,2.7027027027027026
Go,1.0,2.7027027027027026
Common Lisp,1.0,2.7027027027027026
Erlang,1.0,2.7027027027027026
Scala,0.0,0.0
Clojure,0.0,0.0
VB.NET,0.0,0.0
CoffeeScript,0.0,0.0
Dart,0.0,0.0
Smalltalk,0.0,0.0
Haskell,0.0,0.0
Lua,0.0,0.0
Ruby,0.0,0.0
F#,0.0,0.0
Groovy,0.0,0.0
Objective-C,0.0,0.0
Hack,0.0,0.0
Elixir,0.0,0.0
