Number of software projects for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
0.0,2,0.9852216748768473,0.91324200913242,0.07197966574442727
1.0,37,18.226600985221676,12.785388127853881,5.441212857367795
2.0,47,23.15270935960591,21.461187214611872,1.691522144994039
3.0,50,24.63054187192118,25.11415525114155,-0.48361337922036896
4.0,14,6.896551724137931,14.61187214611872,-7.71532042198079
5.0,21,10.344827586206897,12.785388127853881,-2.4405605416469847
6.0,11,5.41871921182266,2.28310502283105,3.1356141889916103
7.0,2,0.9852216748768473,1.36986301369863,-0.38464133882178275
8.0,2,0.9852216748768473,1.82648401826484,-0.8412623433879928
10.0,8,3.9408866995073892,3.65296803652968,0.28791866297770907
12.0,1,0.49261083743842365,0.45662100456621,0.035989832872213634
15.0,1,0.49261083743842365,0.91324200913242,-0.4206311716939964
18.0,1,0.49261083743842365,,
20.0,3,1.477832512315271,0.91324200913242,0.5645905031828509
25.0,1,0.49261083743842365,,
30.0,1,0.49261083743842365,,
35.0,1,0.49261083743842365,,
