Open source use for United States,Count,Percentage,Percentage in 2017,Difference with previous year
1 (None at all),,,,
2,2.0,1.4492753623188406,5.042016806722689,-3.592741444403848
3,2.0,1.4492753623188406,3.361344537815126,-1.9120691754962855
4,2.0,1.4492753623188406,2.5210084033613445,-1.0717330410425039
5,4.0,2.898550724637681,9.243697478991598,-6.345146754353916
6,4.0,2.898550724637681,4.201680672268908,-1.3031299476312266
7,5.0,3.6231884057971016,7.563025210084033,-3.939836804286932
8,17.0,12.318840579710146,14.285714285714285,-1.9668737060041384
9,25.0,18.115942028985508,13.445378151260504,4.670563877725003
10 (All the time),74.0,53.62318840579711,,
