Programming languages for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
Python,211.0,63.36336336336337,53.84615384615385,9.517209517209523
C++,125.0,37.53753753753754,30.461538461538463,7.075999075999075
C,88.0,26.426426426426424,22.46153846153846,3.9648879648879642
JavaScript,76.0,22.822822822822822,26.461538461538463,-3.6387156387156416
Java,74.0,22.22222222222222,21.23076923076923,0.9914529914529915
Matlab,73.0,21.92192192192192,20.615384615384617,1.3065373065373045
R,69.0,20.72072072072072,23.076923076923077,-2.356202356202356
SQL,66.0,19.81981981981982,19.692307692307693,0.12751212751212648
Fortran,58.0,17.417417417417415,18.76923076923077,-1.3518133518133553
PHP,31.0,9.30930930930931,12.615384615384615,-3.3060753060753054
C#,29.0,8.708708708708707,4.3076923076923075,4.4010164010164
Perl,16.0,4.804804804804805,10.153846153846153,-5.349041349041348
Julia,14.0,4.2042042042042045,3.6923076923076925,0.511896511896512
TypeScript,14.0,4.2042042042042045,1.5384615384615385,2.665742665742666
VBA,11.0,3.303303303303303,4.0,-0.696696696696697
Rust,8.0,2.4024024024024024,0.6153846153846154,1.787017787017787
Assembly,8.0,2.4024024024024024,3.076923076923077,-0.6745206745206747
Go,7.0,2.1021021021021022,1.2307692307692308,0.8713328713328714
Ruby,6.0,1.8018018018018018,4.0,-2.198198198198198
VB.NET,5.0,1.5015015015015014,1.2307692307692308,0.2707322707322706
Scala,5.0,1.5015015015015014,0.9230769230769231,0.5784245784245783
Visual Basic,5.0,1.5015015015015014,2.4615384615384617,-0.9600369600369603
Groovy,5.0,1.5015015015015014,1.2307692307692308,0.2707322707322706
Lua,5.0,1.5015015015015014,2.4615384615384617,-0.9600369600369603
Common Lisp,3.0,0.9009009009009009,0.3076923076923077,0.5932085932085932
Haskell,3.0,0.9009009009009009,0.9230769230769231,-0.022176022176022214
Swift,2.0,0.6006006006006006,0.6153846153846154,-0.01478401478401481
Objective-C,1.0,0.3003003003003003,0.6153846153846154,-0.3150843150843151
CoffeeScript,1.0,0.3003003003003003,0.6153846153846154,-0.3150843150843151
F#,0.0,0.0,0.0,0.0
Erlang,0.0,0.0,0.0,0.0
Elixir,0.0,0.0,0.0,0.0
Hack,0.0,0.0,0.0,0.0
Dart,0.0,0.0,0.0,0.0
Smalltalk,0.0,0.0,0.0,0.0
Clojure,0.0,0.0,0.3076923076923077,-0.3076923076923077
