Programming languages for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
Python,14.0,60.86956521739131,42.10526315789473,18.76430205949658
SQL,6.0,26.08695652173913,15.789473684210526,10.297482837528603
R,6.0,26.08695652173913,15.789473684210526,10.297482837528603
Java,4.0,17.391304347826086,5.263157894736842,12.128146453089244
C++,3.0,13.043478260869565,15.789473684210526,-2.745995423340961
C,3.0,13.043478260869565,21.052631578947366,-8.009153318077802
JavaScript,3.0,13.043478260869565,15.789473684210526,-2.745995423340961
C#,2.0,8.695652173913043,10.526315789473683,-1.8306636155606402
PHP,2.0,8.695652173913043,0.0,8.695652173913043
Perl,2.0,8.695652173913043,5.263157894736842,3.4324942791762014
Assembly,1.0,4.3478260869565215,5.263157894736842,-0.9153318077803201
TypeScript,1.0,4.3478260869565215,0.0,4.3478260869565215
Scala,1.0,4.3478260869565215,0.0,4.3478260869565215
Matlab,1.0,4.3478260869565215,5.263157894736842,-0.9153318077803201
Julia,1.0,4.3478260869565215,0.0,4.3478260869565215
Visual Basic,1.0,4.3478260869565215,5.263157894736842,-0.9153318077803201
Groovy,1.0,4.3478260869565215,0.0,4.3478260869565215
Go,1.0,4.3478260869565215,0.0,4.3478260869565215
Erlang,1.0,4.3478260869565215,0.0,4.3478260869565215
Rust,0.0,0.0,0.0,0.0
VBA,0.0,0.0,5.263157894736842,-5.263157894736842
VB.NET,0.0,0.0,5.263157894736842,-5.263157894736842
Clojure,0.0,0.0,0.0,0.0
Swift,0.0,0.0,0.0,0.0
CoffeeScript,0.0,0.0,0.0,0.0
Smalltalk,0.0,0.0,0.0,0.0
Common Lisp,0.0,0.0,0.0,0.0
Haskell,0.0,0.0,0.0,0.0
Ruby,0.0,0.0,0.0,0.0
Hack,0.0,0.0,0.0,0.0
Elixir,0.0,0.0,0.0,0.0
F#,0.0,0.0,0.0,0.0
Objective-C,0.0,0.0,0.0,0.0
Fortran,0.0,0.0,15.789473684210526,-15.789473684210526
Lua,0.0,0.0,0.0,0.0
Dart,0.0,0.0,0.0,0.0
