Field of education for Australia,Percentage in 2018,Percentage
 Physical Sciences,27.835051546391753,0.0
 Information and Computing Sciences,21.649484536082475,0.0
 Biological Sciences,15.463917525773196,0.0
 Engineering,10.309278350515463,0.0
 Earth Sciences,8.24742268041237,0.0
 Mathematical Sciences,8.24742268041237,0.0
 Medical and Health Sciences,2.0618556701030926,0.0
 Studies in Creative Arts and Writing,1.0309278350515463,0.0
 Chemical Sciences,1.0309278350515463,0.0
 Technology,1.0309278350515463,0.0
 Philosophy and Religious Studies,1.0309278350515463,0.0
 Psychology and Cognitive Sciences,1.0309278350515463,0.0
 Environmental Sciences,1.0309278350515463,0.0
