Field of education for Germany,Count,Percentage
Physics and Astronomy,58,22.48062015503876
Computer Science,57,22.093023255813954
Mathematics,23,8.914728682170542
Biological Sciences,17,6.5891472868217065
Mechanical Engineering,15,5.813953488372093
Geography & Environmental Sciences,13,5.038759689922481
Civil Engineering,10,3.875968992248062
Electrical & Electronic Engineering,9,3.488372093023256
Geology,7,2.7131782945736433
Linguistics,5,1.937984496124031
General Engineering,5,1.937984496124031
Chemistry,5,1.937984496124031
History,4,1.550387596899225
Agriculture & Forestry,4,1.550387596899225
Economics,3,1.1627906976744187
,3,1.1627906976744187
Chemical Engineering,2,0.7751937984496124
Medicine,2,0.7751937984496124
Philosophy,2,0.7751937984496124
Librarianship & Information Management,2,0.7751937984496124
German,2,0.7751937984496124
Anthropology,1,0.3875968992248062
Aeronautical & Manufacturing Engineering,1,0.3875968992248062
Business & Management Studies,1,0.3875968992248062
Communication & Media Studies,1,0.3875968992248062
Psychology,1,0.3875968992248062
Classics & Ancient History,1,0.3875968992248062
Materials Technology,1,0.3875968992248062
Sociology,1,0.3875968992248062
Middle Eastern and African Studies,1,0.3875968992248062
Veterinary Medicine,1,0.3875968992248062
