Field of education for New Zealand,Count,Percentage
Mathematics,5,17.857142857142858
Physics and Astronomy,5,17.857142857142858
Biological Sciences,5,17.857142857142858
Electrical & Electronic Engineering,3,10.714285714285714
Computer Science,3,10.714285714285714
Geography & Environmental Sciences,2,7.142857142857142
Linguistics,1,3.571428571428571
General Engineering,1,3.571428571428571
Agriculture & Forestry,1,3.571428571428571
Classics & Ancient History,1,3.571428571428571
Mechanical Engineering,1,3.571428571428571
