Field of education for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Computer Science,37,23.56687898089172,26.20689655172414,-2.64001757083242
Physics and Astronomy,31,19.745222929936308,30.344827586206897,-10.59960465627059
Mathematics,19,12.101910828025478,8.96551724137931,3.136393586646168
Biological Sciences,17,10.828025477707007,9.655172413793103,1.1728530639139034
Chemistry,12,7.643312101910828,1.3793103448275863,6.264001757083242
Electrical & Electronic Engineering,7,4.45859872611465,4.137931034482759,0.3206676916318907
Materials Technology,5,3.1847133757961785,1.3793103448275863,1.8054030309685922
Mechanical Engineering,5,3.1847133757961785,1.3793103448275863,1.8054030309685922
Psychology,3,1.910828025477707,0.6896551724137931,1.2211728530639139
Geography & Environmental Sciences,3,1.910828025477707,2.7586206896551726,-0.8477926641774656
Aeronautical & Manufacturing Engineering,2,1.2738853503184715,,
Chemical Engineering,2,1.2738853503184715,1.3793103448275863,-0.1054249945091148
Accounting & Finance,1,0.6369426751592357,0.6896551724137931,-0.0527124972545574
Philosophy,1,0.6369426751592357,1.3793103448275863,-0.7423676696683505
Economics,1,0.6369426751592357,1.3793103448275863,-0.7423676696683505
Agriculture & Forestry,1,0.6369426751592357,,
Anatomy & Physiology,1,0.6369426751592357,,
History,1,0.6369426751592357,1.3793103448275863,-0.7423676696683505
English,1,0.6369426751592357,,
Music,1,0.6369426751592357,1.3793103448275863,-0.7423676696683505
East & South Asian Studies,1,0.6369426751592357,0.6896551724137931,-0.0527124972545574
Town & Country Planning and Landscape Design,1,0.6369426751592357,,
Politics,1,0.6369426751592357,0.6896551724137931,-0.0527124972545574
Sociology,1,0.6369426751592357,,
General Engineering,1,0.6369426751592357,,
Geology,1,0.6369426751592357,1.3793103448275863,-0.7423676696683505
