Field of education for World,Count,Percentage
Biological Sciences,10,18.51851851851852
Physics and Astronomy,10,18.51851851851852
Computer Science,9,16.666666666666664
Mathematics,6,11.11111111111111
Geography & Environmental Sciences,3,5.555555555555555
Education,2,3.7037037037037033
Electrical & Electronic Engineering,2,3.7037037037037033
Psychology,2,3.7037037037037033
Chemistry,1,1.8518518518518516
Pharmacology & Pharmacy,1,1.8518518518518516
Medicine,1,1.8518518518518516
Business & Management Studies,1,1.8518518518518516
"History of Art, Architecture & Design",1,1.8518518518518516
Geology,1,1.8518518518518516
Accounting & Finance,1,1.8518518518518516
Marketing,1,1.8518518518518516
Librarianship & Information Management,1,1.8518518518518516
Chemical Engineering,1,1.8518518518518516
