field of work for Germany,Count,Percentage
Computer Science,104.0,40.310077519379846
Biological Sciences,52.0,20.155038759689923
Geography & Environmental Sciences,51.0,19.767441860465116
Physics and Astronomy,50.0,19.379844961240313
Mathematics,28.0,10.852713178294573
Geology,21.0,8.13953488372093
Education,18.0,6.976744186046512
Agriculture & Forestry,15.0,5.813953488372093
Librarianship & Information Management,15.0,5.813953488372093
Medicine,14.0,5.426356589147287
Chemistry,13.0,5.038759689922481
Mechanical Engineering,12.0,4.651162790697675
Linguistics,10.0,3.875968992248062
History,10.0,3.875968992248062
Electrical & Electronic Engineering,10.0,3.875968992248062
Civil Engineering,10.0,3.875968992248062
General Engineering,9.0,3.488372093023256
Materials Technology,7.0,2.7131782945736433
Chemical Engineering,7.0,2.7131782945736433
Communication & Media Studies,6.0,2.3255813953488373
Sociology,6.0,2.3255813953488373
Philosophy,5.0,1.937984496124031
Economics,5.0,1.937984496124031
Robotics,5.0,1.937984496124031
Psychology,4.0,1.550387596899225
Law,4.0,1.550387596899225
Aeronautical & Manufacturing Engineering,4.0,1.550387596899225
Classics & Ancient History,4.0,1.550387596899225
Politics,3.0,1.1627906976744187
German,3.0,1.1627906976744187
"History of Art, Architecture & Design",3.0,1.1627906976744187
Theology & Religious Studies,3.0,1.1627906976744187
East & South Asian Studies,2.0,0.7751937984496124
Music,2.0,0.7751937984496124
Middle Eastern and African Studies,2.0,0.7751937984496124
Business & Management Studies,2.0,0.7751937984496124
Town & Country Planning and Landscape Design,1.0,0.3875968992248062
Food Science,1.0,0.3875968992248062
Social Work,1.0,0.3875968992248062
American Studies,1.0,0.3875968992248062
Anthropology,1.0,0.3875968992248062
French,1.0,0.3875968992248062
Veterinary Medicine,1.0,0.3875968992248062
Iberian Languages/Hispanic Studies,1.0,0.3875968992248062
English,1.0,0.3875968992248062
Social Policy,1.0,0.3875968992248062
