field of work for Netherlands,Count,Percentage
SQ017. Please select the discipline(s) in which you work. Please select all that apply. ,26.0,39.39393939393939
SQ052. Please select the discipline(s) in which you work. Please select all that apply. ,21.0,31.818181818181817
SQ009. Please select the discipline(s) in which you work. Please select all that apply. ,21.0,31.818181818181817
SQ029. Please select the discipline(s) in which you work. Please select all that apply. ,11.0,16.666666666666664
SQ045. Please select the discipline(s) in which you work. Please select all that apply. ,11.0,16.666666666666664
SQ040. Please select the discipline(s) in which you work. Please select all that apply. ,7.0,10.606060606060606
SQ015. Please select the discipline(s) in which you work. Please select all that apply. ,7.0,10.606060606060606
SQ055. Please select the discipline(s) in which you work. Please select all that apply. ,6.0,9.090909090909092
SQ012. Please select the discipline(s) in which you work. Please select all that apply. ,6.0,9.090909090909092
SQ060. Please select the discipline(s) in which you work. Please select all that apply. ,5.0,7.575757575757576
SQ042. Please select the discipline(s) in which you work. Please select all that apply. ,5.0,7.575757575757576
SQ043. Please select the discipline(s) in which you work. Please select all that apply. ,5.0,7.575757575757576
SQ024. Please select the discipline(s) in which you work. Please select all that apply. ,4.0,6.0606060606060606
SQ044. Please select the discipline(s) in which you work. Please select all that apply. ,4.0,6.0606060606060606
SQ027. Please select the discipline(s) in which you work. Please select all that apply. ,3.0,4.545454545454546
SQ050. Please select the discipline(s) in which you work. Please select all that apply. ,3.0,4.545454545454546
SQ031. Please select the discipline(s) in which you work. Please select all that apply. ,3.0,4.545454545454546
SQ033. Please select the discipline(s) in which you work. Please select all that apply. ,3.0,4.545454545454546
SQ054. Please select the discipline(s) in which you work. Please select all that apply. ,3.0,4.545454545454546
SQ051. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ013. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ011. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ025. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ008. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ006. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ039. Please select the discipline(s) in which you work. Please select all that apply. ,2.0,3.0303030303030303
SQ002. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ041. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ061. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ038. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ064. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ034. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ001. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ032. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ023. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ010. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ014. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ022. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ005. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ030. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ003. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ016. Please select the discipline(s) in which you work. Please select all that apply. ,1.0,1.5151515151515151
SQ004. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ062. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ063. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ059. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ058. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ057. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ056. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ007. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ053. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ018. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ035. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ049. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ048. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ047. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ046. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ019. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ020. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ021. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ026. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ028. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ037. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ036. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
SQ065. Please select the discipline(s) in which you work. Please select all that apply. ,0.0,0.0
