field of work for New Zealand,Count,Percentage
Computer Science,17,45.94594594594595
Geography & Environmental Sciences,15,40.54054054054054
Biological Sciences,10,27.027027027027028
Physics and Astronomy,9,24.324324324324326
Mathematics,7,18.91891891891892
Civil Engineering,5,13.513513513513514
Mechanical Engineering,4,10.81081081081081
General Engineering,4,10.81081081081081
Electrical & Electronic Engineering,4,10.81081081081081
Geology,3,8.108108108108109
Materials Technology,3,8.108108108108109
Chemistry,3,8.108108108108109
Agriculture & Forestry,3,8.108108108108109
Education,2,5.405405405405405
Aeronautical & Manufacturing Engineering,2,5.405405405405405
Linguistics,2,5.405405405405405
Medicine,2,5.405405405405405
Psychology,1,2.7027027027027026
Robotics,1,2.7027027027027026
Social Work,1,2.7027027027027026
Accounting & Finance,1,2.7027027027027026
History,1,2.7027027027027026
Communication & Media Studies,1,2.7027027027027026
Chemical Engineering,1,2.7027027027027026
Art & Design,1,2.7027027027027026
Anthropology,1,2.7027027027027026
Anatomy & Physiology,1,2.7027027027027026
Youth Work,1,2.7027027027027026
