field of work for South Africa,Percentage in 2018,Percentage
Computer Science,52.17391304347826,0.0
Biological Sciences,43.47826086956522,0.0
Education,17.391304347826086,0.0
Physics and Astronomy,17.391304347826086,0.0
Electrical & Electronic Engineering,8.695652173913043,0.0
Mathematics,8.695652173913043,0.0
Communication & Media Studies,4.3478260869565215,0.0
Economics,4.3478260869565215,0.0
Librarianship & Information Management,4.3478260869565215,0.0
Linguistics,4.3478260869565215,0.0
Psychology,4.3478260869565215,0.0
