field of work for United Kingdom,Count,Percentage
Computer Science,83.0,47.42857142857143
Physics and Astronomy,59.0,33.714285714285715
Biological Sciences,54.0,30.857142857142854
Medicine,48.0,27.42857142857143
Mathematics,42.0,24.0
Geography & Environmental Sciences,37.0,21.142857142857142
Chemistry,28.0,16.0
Mechanical Engineering,23.0,13.142857142857142
Education,23.0,13.142857142857142
General Engineering,19.0,10.857142857142858
Materials Technology,19.0,10.857142857142858
Aeronautical & Manufacturing Engineering,19.0,10.857142857142858
Psychology,18.0,10.285714285714285
Electrical & Electronic Engineering,17.0,9.714285714285714
Civil Engineering,14.0,8.0
Geology,11.0,6.2857142857142865
Chemical Engineering,11.0,6.2857142857142865
Librarianship & Information Management,11.0,6.2857142857142865
History,10.0,5.714285714285714
Robotics,10.0,5.714285714285714
English,9.0,5.142857142857142
Linguistics,9.0,5.142857142857142
Sociology,9.0,5.142857142857142
Economics,7.0,4.0
Business & Management Studies,7.0,4.0
Agriculture & Forestry,7.0,4.0
Classics & Ancient History,6.0,3.428571428571429
Pharmacology & Pharmacy,6.0,3.428571428571429
Art & Design,6.0,3.428571428571429
Architecture,6.0,3.428571428571429
Accounting & Finance,6.0,3.428571428571429
Sports Science,5.0,2.857142857142857
Music,5.0,2.857142857142857
Anthropology,5.0,2.857142857142857
Anatomy & Physiology,5.0,2.857142857142857
Social Work,5.0,2.857142857142857
Ophthalmics,4.0,2.2857142857142856
Social Policy,4.0,2.2857142857142856
Criminology,4.0,2.2857142857142856
Food Science,4.0,2.2857142857142856
Law,3.0,1.7142857142857144
Nursing,3.0,1.7142857142857144
Theology & Religious Studies,3.0,1.7142857142857144
Dentistry,3.0,1.7142857142857144
Politics,3.0,1.7142857142857144
Physiotherapy,3.0,1.7142857142857144
Philosophy,3.0,1.7142857142857144
Veterinary Medicine,3.0,1.7142857142857144
"History of Art, Architecture & Design",3.0,1.7142857142857144
Marketing,3.0,1.7142857142857144
Town & Country Planning and Landscape Design,2.0,1.1428571428571428
Complementary Medicine,2.0,1.1428571428571428
French,1.0,0.5714285714285714
Counselling,1.0,0.5714285714285714
American Studies,1.0,0.5714285714285714
Middle Eastern and African Studies,1.0,0.5714285714285714
Youth Work,1.0,0.5714285714285714
Land & Property Management,1.0,0.5714285714285714
Communication & Media Studies,1.0,0.5714285714285714
Iberian Languages/Hispanic Studies,1.0,0.5714285714285714
Russian & East European Languages,1.0,0.5714285714285714
"Hospitality, Leisure, Recreation & Tourism",1.0,0.5714285714285714
German,1.0,0.5714285714285714
East & South Asian Studies,1.0,0.5714285714285714
Fashion,1.0,0.5714285714285714
