field of work for United States,Count,Percentage
Computer Science,75.0,46.875
Biological Sciences,43.0,26.875
Physics and Astronomy,42.0,26.25
Geography & Environmental Sciences,23.0,14.374999999999998
Mathematics,21.0,13.125
Materials Technology,16.0,10.0
Medicine,13.0,8.125
Chemistry,13.0,8.125
Sociology,12.0,7.5
Psychology,12.0,7.5
Economics,11.0,6.875000000000001
Librarianship & Information Management,10.0,6.25
Agriculture & Forestry,9.0,5.625
Mechanical Engineering,9.0,5.625
Civil Engineering,9.0,5.625
Geology,9.0,5.625
Politics,8.0,5.0
History,8.0,5.0
General Engineering,8.0,5.0
Linguistics,8.0,5.0
Chemical Engineering,8.0,5.0
Education,7.0,4.375
Electrical & Electronic Engineering,7.0,4.375
Anthropology,6.0,3.75
English,5.0,3.125
Law,5.0,3.125
Aeronautical & Manufacturing Engineering,4.0,2.5
Robotics,4.0,2.5
Social Policy,4.0,2.5
Business & Management Studies,4.0,2.5
Accounting & Finance,4.0,2.5
Criminology,4.0,2.5
French,3.0,1.875
East & South Asian Studies,3.0,1.875
Communication & Media Studies,2.0,1.25
"History of Art, Architecture & Design",2.0,1.25
Town & Country Planning and Landscape Design,2.0,1.25
American Studies,2.0,1.25
Anatomy & Physiology,2.0,1.25
Philosophy,2.0,1.25
Art & Design,2.0,1.25
Classics & Ancient History,2.0,1.25
Social Work,1.0,0.625
Middle Eastern and African Studies,1.0,0.625
Russian & East European Languages,1.0,0.625
Music,1.0,0.625
Dentistry,1.0,0.625
Architecture,1.0,0.625
Food Science,1.0,0.625
Marketing,1.0,0.625
Counselling,1.0,0.625
Complementary Medicine,1.0,0.625
German,1.0,0.625
