Bus factor for World,Count,Percentage
-1.0,1,0.11976047904191617
0.0,31,3.7125748502994016
1.0,441,52.81437125748503
1.3,1,0.11976047904191617
1.5,5,0.5988023952095809
2.0,221,26.46706586826347
3.0,70,8.383233532934131
3.5,1,0.11976047904191617
4.0,18,2.155688622754491
5.0,21,2.5149700598802394
6.0,4,0.47904191616766467
7.0,1,0.11976047904191617
8.0,2,0.23952095808383234
10.0,8,0.9580838323353293
18.0,1,0.11976047904191617
20.0,2,0.23952095808383234
50.0,2,0.23952095808383234
100.0,2,0.23952095808383234
1000.0,1,0.11976047904191617
9999999999.0,1,0.11976047904191617
1e+20,1,0.11976047904191617
