,Country,education comparison,Total count,Percentage per countries
0,Australia,Doctorate,82,62.6
1,Australia,Other,34,25.95
2,Australia,Master degree,15,11.45
3,Germany,Master degree,290,49.07
4,Germany,Doctorate,251,42.47
5,Germany,Other,50,8.46
6,Netherlands,Doctorate,61,50.83
7,Netherlands,Master degree,52,43.33
8,Netherlands,Other,7,5.83
9,New Zealand,Doctorate,26,40.0
10,New Zealand,Other,21,32.31
11,New Zealand,Master degree,18,27.69
12,South Africa,Other,12,48.0
13,South Africa,Doctorate,7,28.0
14,South Africa,Master degree,6,24.0
15,United Kingdom,Doctorate,290,70.56
16,United Kingdom,Master degree,83,20.19
17,United Kingdom,Other,38,9.25
18,United States,Doctorate,151,49.19
19,United States,Master degree,82,26.71
20,United States,Other,74,24.1
21,World,Other,175,54.69
22,World,Doctorate,84,26.25
23,World,Master degree,61,19.06
