Programming languages for New Zealand,Count,Percentage
Python,21.0,75.0
R,14.0,50.0
SQL,10.0,35.714285714285715
Fortran,10.0,35.714285714285715
C,9.0,32.142857142857146
C++,7.0,25.0
JavaScript,7.0,25.0
Perl,5.0,17.857142857142858
Matlab,4.0,14.285714285714285
Rust,3.0,10.714285714285714
Julia,3.0,10.714285714285714
Java,2.0,7.142857142857142
TypeScript,2.0,7.142857142857142
VB.NET,2.0,7.142857142857142
VBA,2.0,7.142857142857142
C#,2.0,7.142857142857142
Go,1.0,3.571428571428571
Visual Basic,1.0,3.571428571428571
Lua,1.0,3.571428571428571
Objective-C,1.0,3.571428571428571
Clojure,1.0,3.571428571428571
Swift,0.0,0.0
other. What programming languages do you use at work? Please select all that apply. ,0.0,0.0
CUDA,0.0,0.0
FORTRAN,0.0,0.0
"Markup languages (HTML, markdown,..)",0.0,0.0
Smalltalk,0.0,0.0
Scala,0.0,0.0
,0.0,0.0
Ruby,0.0,0.0
PHP,0.0,0.0
Assembly,0.0,0.0
Haskell,0.0,0.0
Hack,0.0,0.0
Groovy,0.0,0.0
F#,0.0,0.0
Erlang,0.0,0.0
Elixir,0.0,0.0
Dart,0.0,0.0
Common Lisp,0.0,0.0
CoffeeScript,0.0,0.0
Unix Shell Scripting,0.0,0.0
