Programming languages for United States,Count,Percentage
Python,128.0,80.0
C++,55.0,34.375
R,49.0,30.625000000000004
SQL,48.0,30.0
JavaScript,46.0,28.749999999999996
C,35.0,21.875
Fortran,29.0,18.125
Matlab,27.0,16.875
Java,27.0,16.875
other. What programming languages do you use at work? Please select all that apply. ,16.0,10.0
Perl,15.0,9.375
TypeScript,13.0,8.125
Julia,13.0,8.125
PHP,12.0,7.5
Ruby,9.0,5.625
C#,6.0,3.75
Go,6.0,3.75
Scala,5.0,3.125
Lua,4.0,2.5
Common Lisp,4.0,2.5
Assembly,3.0,1.875
Groovy,3.0,1.875
Objective-C,2.0,1.25
VB.NET,2.0,1.25
Haskell,2.0,1.25
Visual Basic,2.0,1.25
Rust,2.0,1.25
VBA,2.0,1.25
Dart,1.0,0.625
Swift,1.0,0.625
Elixir,1.0,0.625
