Field of education for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
Physics and Astronomy,81,34.46808510638298,28.163265306122447,6.304819800260532
Computer Science,56,23.829787234042556,26.93877551020408,-3.1089882761615257
Biological Sciences,28,11.914893617021278,6.122448979591836,5.792444637429441
Mathematics,18,7.659574468085106,7.755102040816326,-0.09552757273122037
Chemistry,12,5.106382978723404,6.530612244897959,-1.4242292661745557
Geography & Environmental Sciences,11,4.680851063829787,4.081632653061225,0.5992184107685627
Electrical & Electronic Engineering,6,2.553191489361702,3.2653061224489797,-0.7121146330872778
Geology,4,1.702127659574468,1.2244897959183674,0.4776378636561007
General Engineering,4,1.702127659574468,1.2244897959183674,0.4776378636561007
Sociology,2,0.851063829787234,,
Medicine,2,0.851063829787234,0.8163265306122449,0.034737299174989134
English,2,0.851063829787234,,
Mechanical Engineering,2,0.851063829787234,1.6326530612244898,-0.7815892314372558
Aeronautical & Manufacturing Engineering,2,0.851063829787234,0.8163265306122449,0.034737299174989134
Civil Engineering,1,0.425531914893617,2.4489795918367347,-2.0234476769431176
Theology & Religious Studies,1,0.425531914893617,0.40816326530612246,0.017368649587494567
Robotics,1,0.425531914893617,0.40816326530612246,0.017368649587494567
Materials Technology,1,0.425531914893617,1.2244897959183674,-0.7989578810247504
History,1,0.425531914893617,0.40816326530612246,0.017368649587494567
