Open source use for Netherlands,Count,Percentage,Percentage in 2017,Difference with previous year
1 (None at all),,,,
2,2.0,3.9215686274509802,9.67741935483871,-5.755850727387729
3,2.0,3.9215686274509802,4.838709677419355,-0.9171410499683748
4,,,,
5,2.0,3.9215686274509802,1.6129032258064515,2.3086654016445287
6,3.0,5.88235294117647,1.6129032258064515,4.269449715370019
7,2.0,3.9215686274509802,9.67741935483871,-5.755850727387729
8,2.0,3.9215686274509802,8.064516129032258,-4.142947501581277
9,5.0,9.803921568627452,16.129032258064516,-6.325110689437064
10 (All the time),31.0,60.78431372549019,,
