QID_2022,Action,Argument,,,,,,,,,,,,
id,Delete,,,,,,,,,,,,,
datestamp,Delete,,,,,,,,,,,,,
refurl,Delete,,,,,,,,,,,,,
ipaddr,Delete,,,,,,,,,,,,,
seed,Delete,,,,,,,,,,,,,
edu1qde[other],Delete,,,,,,,,,,,,,
edu1qnl[other],Delete,,,,,,,,,,,,,
edu1qus[other],Delete,,,,,,,,,,,,,
edu1quk[other],Delete,,,,,,,,,,,,,
edu1qnzl[other],Delete,,,,,,,,,,,,,
edu1qcan[other],Delete,,,,,,,,,,,,,
edu1qaus[other],Delete,,,,,,,,,,,,,
edu1qnord[other],Delete,,,,,,,,,,,,,
likert0[time1can],SearchReplace,time1can,,,,,,,,,,,,
likert0[time2can],SearchReplace,time2can,,,,,,,,,,,,
likert0[time3can],SearchReplace,time3can,,,,,,,,,,,,
likert0[time4can],SearchReplace,time4can,,,,,,,,,,,,
likert0[time5can],SearchReplace,time5can,,,,,,,,,,,,
likert1[timeLike6zaf],SearchReplace,timeLike6zaf,,,,,,,,,,,,
likert1[timeLike7zaf],SearchReplace,timeLike7zaf,,,,,,,,,,,,
likert1[timeLike8zaf],SearchReplace,timeLike8zaf,,,,,,,,,,,,
likert1[timeLie9zaf],SearchReplace,timeLike9zaf,,,,,,,,,,,,
likert1[timeLike10zaf],SearchReplace,timeLike10zaf,,,,,,,,,,,,
currentEmp13[SQ001],SearchReplace,currentEmp13\..*\[Accounting & Finance\],,,,,,,,,,,,
currentEmp13[SQ002],SearchReplace,currentEmp13\..*\[Aeronautical & Manufacturing Engineering\],,,,,,,,,,,,
currentEmp13[SQ003],SearchReplace,currentEmp13\..*\[Agriculture & Forestry\],,,,,,,,,,,,
currentEmp13[SQ004],SearchReplace,currentEmp13\..*\[American Studies\],,,,,,,,,,,,
currentEmp13[SQ005],SearchReplace,currentEmp13\..*\[Anatomy & Physiology\],,,,,,,,,,,,
currentEmp13[SQ006],SearchReplace,currentEmp13\..*\[Anthropology\],,,,,,,,,,,,
currentEmp13[SQ007],SearchReplace,currentEmp13\..*\[Architecture\],,,,,,,,,,,,
currentEmp13[SQ008],SearchReplace,currentEmp13\..*\[Art & Design\],,,,,,,,,,,,
currentEmp13[SQ009],SearchReplace,currentEmp13\..*\[Biological Sciences\],,,,,,,,,,,,
currentEmp13[SQ010],SearchReplace,currentEmp13\..*\[Business & Management Studies\],,,,,,,,,,,,
currentEmp13[SQ011],SearchReplace,currentEmp13\..*\[Chemical Engineering\],,,,,,,,,,,,
currentEmp13[SQ012],SearchReplace,currentEmp13\..*\[Chemistry\],,,,,,,,,,,,
currentEmp13[SQ013],SearchReplace,currentEmp13\..*\[Civil Engineering\],,,,,,,,,,,,
currentEmp13[SQ014],SearchReplace,currentEmp13\..*\[Classics & Ancient History\],,,,,,,,,,,,
currentEmp13[SQ015],SearchReplace,currentEmp13\..*\[Communication & Media Studies\],,,,,,,,,,,,
currentEmp13[SQ016],SearchReplace,currentEmp13\..*\[Complementary Medicine\],,,,,,,,,,,,
currentEmp13[SQ017],SearchReplace,currentEmp13\..*\[Computer Science\],,,,,,,,,,,,
currentEmp13[SQ018],SearchReplace,currentEmp13\..*\[Counselling\],,,,,,,,,,,,
currentEmp13[SQ019],SearchReplace,currentEmp13\..*\[Criminology\],,,,,,,,,,,,
currentEmp13[SQ020],SearchReplace,currentEmp13\..*\[Dentistry\],,,,,,,,,,,,
currentEmp13[SQ021],SearchReplace,currentEmp13\..*\[East & South Asian Studies\],,,,,,,,,,,,
currentEmp13[SQ022],SearchReplace,currentEmp13\..*\[Economics\],,,,,,,,,,,,
currentEmp13[SQ023],SearchReplace,currentEmp13\..*\[Education\],,,,,,,,,,,,
currentEmp13[SQ024],SearchReplace,currentEmp13\..*\[Electrical & Electronic Engineering\],,,,,,,,,,,,
currentEmp13[SQ025],SearchReplace,currentEmp13\..*\[English\],,,,,,,,,,,,
currentEmp13[SQ026],SearchReplace,currentEmp13\..*\[Fashion\],,,,,,,,,,,,
currentEmp13[SQ027],SearchReplace,currentEmp13\..*\[Food Science\],,,,,,,,,,,,
currentEmp13[SQ028],SearchReplace,currentEmp13\..*\[French\],,,,,,,,,,,,
currentEmp13[SQ029],SearchReplace,currentEmp13\..*\[Geography & Environmental Sciences\],,,,,,,,,,,,
currentEmp13[SQ030],SearchReplace,currentEmp13\..*\[Geology\],,,,,,,,,,,,
currentEmp13[SQ031],SearchReplace,currentEmp13\..*\[General Engineering\],,,,,,,,,,,,
currentEmp13[SQ032],SearchReplace,currentEmp13\..*\[German\],,,,,,,,,,,,
currentEmp13[SQ033],SearchReplace,currentEmp13\..*\[History\],,,,,,,,,,,,
currentEmp13[SQ034],SearchReplace,currentEmp13\..*\[History of Art,,,,,,,,,,,,
currentEmp13[SQ035],SearchReplace,currentEmp13\..*\[Hospitality,,,,,,,,,,,,
currentEmp13[SQ036],SearchReplace,currentEmp13\..*\[Iberian Languages/Hispanic Studies\],,,,,,,,,,,,
currentEmp13[SQ037],SearchReplace,currentEmp13\..*\[Land & Property Management\],,,,,,,,,,,,
currentEmp13[SQ038],SearchReplace,currentEmp13\..*\[Law\],,,,,,,,,,,,
currentEmp13[SQ039],SearchReplace,currentEmp13\..*\[Librarianship & Information Management\],,,,,,,,,,,,
currentEmp13[SQ040],SearchReplace,currentEmp13\..*\[Linguistics\],,,,,,,,,,,,
currentEmp13[SQ041],SearchReplace,currentEmp13\..*\[Marketing\],,,,,,,,,,,,
currentEmp13[SQ042],SearchReplace,currentEmp13\..*\[Materials Technology\],,,,,,,,,,,,
currentEmp13[SQ043],SearchReplace,currentEmp13\..*\[Mathematics\],,,,,,,,,,,,
currentEmp13[SQ044],SearchReplace,currentEmp13\..*\[Mechanical Engineering\],,,,,,,,,,,,
currentEmp13[SQ045],SearchReplace,currentEmp13\..*\[Medicine\],,,,,,,,,,,,
currentEmp13[SQ046],SearchReplace,currentEmp13\..*\[Middle Eastern and African Studies\],,,,,,,,,,,,
currentEmp13[SQ047],SearchReplace,currentEmp13\..*\[Music\],,,,,,,,,,,,
currentEmp13[SQ048],SearchReplace,currentEmp13\..*\[Nursing\],,,,,,,,,,,,
currentEmp13[SQ049],SearchReplace,currentEmp13\..*\[Ophthalmics\],,,,,,,,,,,,
currentEmp13[SQ050],SearchReplace,currentEmp13\..*\[Pharmacology & Pharmacy\],,,,,,,,,,,,
currentEmp13[SQ051],SearchReplace,currentEmp13\..*\[Philosophy\],,,,,,,,,,,,
currentEmp13[SQ052],SearchReplace,currentEmp13\..*\[Physics and Astronomy\],,,,,,,,,,,,
currentEmp13[SQ053],SearchReplace,currentEmp13\..*\[Physiotherapy\],,,,,,,,,,,,
currentEmp13[SQ054],SearchReplace,currentEmp13\..*\[Politics\],,,,,,,,,,,,
currentEmp13[SQ055],SearchReplace,currentEmp13\..*\[Psychology\],,,,,,,,,,,,
currentEmp13[SQ056],SearchReplace,currentEmp13\..*\[Robotics\],,,,,,,,,,,,
currentEmp13[SQ057],SearchReplace,currentEmp13\..*\[Russian & East European Languages\],,,,,,,,,,,,
currentEmp13[SQ058],SearchReplace,currentEmp13\..*\[Social Policy\],,,,,,,,,,,,
currentEmp13[SQ059],SearchReplace,currentEmp13\..*\[Social Work\],,,,,,,,,,,,
currentEmp13[SQ060],SearchReplace,currentEmp13\..*\[Sociology\],,,,,,,,,,,,
currentEmp13[SQ061],SearchReplace,currentEmp13\..*\[Sports Science\],,,,,,,,,,,,
currentEmp13[SQ062],SearchReplace,currentEmp13\..*\[Theology & Religious Studies\],,,,,,,,,,,,
currentEmp13[SQ063],SearchReplace,currentEmp13\..*\[Town & Country Planning and Landscape Design\],,,,,,,,,,,,
currentEmp13[SQ064],SearchReplace,currentEmp13\..*\[Veterinary Medicine\],,,,,,,,,,,,
currentEmp13[SQ065],SearchReplace,currentEmp13\..*\[Youth Work\],,,,,,,,,,,,
currentEmp13qaus[SQ001],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Agricultural, veterinary and food sciences]",,,,,,,,,,,,
currentEmp13qaus[SQ002],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biological sciences],,,,,,,,,,,,
currentEmp13qaus[SQ003],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Biomedical and clinical sciences],,,,,,,,,,,,
currentEmp13qaus[SQ004],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Built environment and design],,,,,,,,,,,,
currentEmp13qaus[SQ005],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Chemical sciences],,,,,,,,,,,,
currentEmp13qaus[SQ006],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Commerce, management, tourism and services]",,,,,,,,,,,,
currentEmp13qaus[SQ007],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Creative arts and writing],,,,,,,,,,,,
currentEmp13qaus[SQ008],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Earth sciences],,,,,,,,,,,,
currentEmp13qaus[SQ009],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Economics],,,,,,,,,,,,
currentEmp13qaus[SQ010],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Education],,,,,,,,,,,,
currentEmp13qaus[SQ011],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Engineering],,,,,,,,,,,,
currentEmp13qaus[SQ012],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Environmental sciences],,,,,,,,,,,,
currentEmp13qaus[SQ013],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Health sciences],,,,,,,,,,,,
currentEmp13qaus[SQ014],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [History, heritage and archaeology]",,,,,,,,,,,,
currentEmp13qaus[SQ015],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Human society],,,,,,,,,,,,
currentEmp13qaus[SQ016],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Indigenous studies],,,,,,,,,,,,
